,CUST_ID,SEX,AGE,DEPARTEMENT
0,5,M,35-49,92
1,100284,M,35-49,08
2,100419,M,50-65,60
3,100566,M,50-65,47
4,100747,M,50-65,15
5,101199,M,50-65,51
6,101204,M,50-65,28
7,101212,M,50-65,95
8,101292,M,35-49,13
9,101303,M,50-65,62
10,101533,M,35-49,94
11,101540,M,35-49,76
12,101544,M,50-65,42
13,101603,M,50-65,56
14,101763,M,50-65,78
15,101909,M,50-65,44
16,101934,M,50-65,17
17,101942,M,50-65,44
18,102081,M,50-65,95
19,102153,M,35-49,77
20,102163,M,35-49,35
21,102292,M,50-65,73
22,102352,M,50-65,33
23,102405,M,50-65,33
24,102753,M,50-65,18
25,102791,M,50-65,14
26,103001,M,35-49,17
27,103005,M,50-65,81
28,103027,M,35-49,01
29,103140,M,35-49,63
30,103240,M,50-65,38
31,103512,M,35-49,31
32,103814,M,50-65,78
33,103882,M,50-65,69
34,104059,M,50-65,49
35,104182,M,50-65,14
36,104367,M,50-65,10
37,104626,M,50-65,59
38,104638,M,35-49,26
39,104728,M,50-65,30
40,104790,M,35-49,59
41,104919,M,50-65,75
42,104940,M,50-65,59
43,105098,M,50-65,02
44,105101,M,50-65,93
45,105314,M,50-65,71
46,105351,M,50-65,59
47,105477,M,50-65,84
48,105550,M,35-49,93
49,105615,M,35-49,31
50,105633,M,50-65,28
51,105832,M,50-65,49
52,105927,M,50-65,91
53,106120,M,50-65,47
54,106157,M,35-49,08
55,106244,M,50-65,38
56,106711,M,50-65,91
57,106727,M,50-65,63
58,106937,M,50-65,04
59,107030,M,35-49,59
60,107114,M,50-65,57
61,107130,M,35-49,60
62,107300,M,50-65,30
63,107379,M,50-65,08
64,107467,M,50-65,44
65,107787,M,50-65,56
66,107923,M,50-65,21
67,108122,M,50-65,40
68,108154,M,35-49,49
69,108184,M,35-49,54
70,108424,M,50-65,69
71,108621,M,35-49,44
72,108687,M,50-65,91
73,108854,M,50-65,45
74,108938,M,50-65,59
75,109043,M,50-65,93
76,109054,M,50-65,59
77,109160,M,50-65,75
78,109218,M,35-49,69
79,109448,M,50-65,44
80,109581,M,35-49,55
81,109620,M,35-49,69
82,109702,M,35-49,27
83,109725,M,35-49,48
84,109840,M,50-65,95
85,109920,M,35-49,74
86,109985,M,35-49,28
87,110100,M,50-65,44
88,110181,M,35-49,74
89,110260,M,50-65,08
90,110310,M,50-65,31
91,110627,M,35-49,56
92,110801,M,35-49,95
93,110860,M,50-65,62
94,110881,M,50-65,08
95,110899,M,35-49,59
96,110918,M,50-65,03
97,111013,M,50-65,73
98,111270,M,35-49,69
99,111581,M,35-49,28
100,111724,M,50-65,70
101,111748,M,50-65,92
102,111879,M,50-65,75
103,111953,M,35-49,77
104,111958,M,35-49,59
105,111970,M,50-65,33
106,111993,M,35-49,28
107,112016,M,50-65,19
108,112041,M,35-49,78
109,112044,M,35-49,59
110,112045,M,35-49,69
111,112049,M,35-49,91
112,112066,M,50-65,38
113,112197,M,35-49,03
114,112455,M,35-49,39
115,112465,M,50-65,35
116,112620,M,50-65,56
117,112638,M,50-65,94
118,112675,M,50-65,50
119,112786,M,35-49,51
120,112823,M,50-65,13
121,112833,M,50-65,94
122,112843,M,50-65,37
123,112907,M,50-65,63
124,113123,M,50-65,59
125,113212,M,35-49,25
126,113487,M,50-65,78
127,113527,M,50-65,62
128,113560,M,50-65,62
129,113566,M,35-49,78
130,113567,M,50-65,77
131,113700,M,35-49,78
132,113711,M,50-65,27
133,113767,M,35-49,38
134,113854,M,50-65,86
135,114193,M,35-49,62
136,114251,M,50-65,50
137,114281,M,35-49,80
138,114644,M,35-49,03
139,114666,M,35-49,59
140,114902,M,35-49,13
141,115001,M,50-65,75
142,115022,M,50-65,38
143,115047,M,50-65,63
144,115094,M,35-49,69
145,115379,M,35-49,01
146,115604,M,50-65,44
147,115701,M,35-49,72
148,115724,M,50-65,95
149,116010,M,50-65,08
150,116135,M,50-65,63
151,116248,M,35-49,37
152,116393,M,35-49,40
153,116450,M,50-65,28
154,116515,M,35-49,82
155,116528,M,35-49,69
156,116631,M,50-65,77
157,116632,M,50-65,70
158,116788,M,35-49,75
159,116969,M,50-65,59
160,117001,M,50-65,54
161,117148,M,35-49,57
162,117239,M,50-65,30
163,117479,M,50-65,86
164,117565,M,50-65,45
165,117674,M,50-65,44
166,117840,M,50-65,38
167,117944,M,50-65,44
168,118049,M,50-65,64
169,118478,M,50-65,59
170,118646,M,50-65,46
171,118952,M,35-49,38
172,119235,M,50-65,37
173,119296,M,50-65,59
174,119642,M,50-65,45
175,119697,M,50-65,70
176,120013,M,50-65,60
177,120327,M,35-49,37
178,120464,M,50-65,22
179,120699,M,50-65,44
180,120852,M,50-65,01
181,120870,M,50-65,71
182,121100,M,50-65,44
183,121344,M,50-65,54
184,121488,M,50-65,17
185,121695,M,50-65,13
186,122130,M,50-65,78
187,122183,M,50-65,17
188,122377,M,50-65,14
189,122586,M,50-65,23
190,122618,M,50-65,13
191,123020,M,50-65,33
192,123050,M,50-65,69
193,123243,M,50-65,77
194,123289,M,50-65,38
195,123436,M,35-49,43
196,123459,M,35-49,60
197,123476,M,50-65,94
198,123777,M,50-65,59
199,124210,M,35-49,38
200,124375,M,35-49,69
201,124383,M,35-49,91
202,124416,M,50-65,83
203,124481,M,50-65,67
204,124561,M,35-49,69
205,124611,M,35-49,31
206,124612,M,35-49,93
207,124614,M,50-65,12
208,124627,M,50-65,56
209,124629,M,35-49,14
210,124724,M,50-65,67
211,124758,M,35-49,02
212,124985,M,35-49,38
213,125002,M,50-65,90
214,125034,M,50-65,38
215,125061,M,50-65,91
216,125165,M,35-49,45
217,125322,M,35-49,01
218,125384,M,50-65,91
219,125629,M,50-65,62
220,125683,M,50-65,01
221,125799,M,50-65,17
222,125855,M,35-49,08
223,126128,M,35-49,44
224,126509,M,35-49,71
225,126710,M,35-49,34
226,126756,M,35-49,17
227,126804,M,35-49,93
228,126991,M,50-65,75
229,126992,M,50-65,60
230,127006,M,35-49,35
231,127017,M,50-65,57
232,127159,M,35-49,85
233,127198,M,50-65,77
234,127413,M,50-65,91
235,127760,M,50-65,78
236,127766,M,50-65,51
237,127780,M,35-49,49
238,127790,M,50-65,59
239,127850,M,50-65,44
240,127930,M,50-65,18
241,127952,M,35-49,78
242,128002,M,35-49,94
243,128022,M,35-49,33
244,128108,M,50-65,94
245,128141,M,50-65,91
246,128216,M,50-65,76
247,128350,M,50-65,38
248,128420,M,50-65,28
249,128532,M,35-49,57
250,128537,M,35-49,72
251,128616,M,35-49,33
252,128619,M,50-65,52
253,128793,M,50-65,35
254,128859,M,35-49,59
255,128959,M,50-65,27
256,129028,M,50-65,57
257,129056,M,35-49,67
258,129189,M,35-49,33
259,129426,M,35-49,60
260,129859,M,35-49,81
261,130016,M,50-65,13
262,130082,M,50-65,60
263,130181,M,35-49,59
264,130184,M,50-65,38
265,130413,M,50-65,28
266,130434,M,35-49,64
267,130481,M,35-49,69
268,130615,M,35-49,67
269,130651,M,50-65,77
270,130710,M,50-65,63
271,130734,M,50-65,93
272,130819,M,50-65,19
273,130838,M,35-49,33
274,131001,M,50-65,83
275,131005,M,50-65,78
276,131007,M,50-65,49
277,131008,M,35-49,62
278,131010,M,50-65,91
279,131014,M,50-65,33
280,131120,M,50-65,10
281,131126,M,50-65,05
282,131128,M,50-65,77
283,131129,M,50-65,84
284,131173,M,50-65,72
285,131306,M,35-49,13
286,131357,M,50-65,54
287,131387,M,35-49,01
288,131410,M,50-65,83
289,131411,M,50-65,38
290,131534,M,35-49,66
291,131535,M,50-65,42
292,131657,M,50-65,44
293,131687,M,50-65,01
294,131691,M,50-65,64
295,131722,M,50-65,54
296,131745,M,50-65,67
297,131870,M,35-49,34
298,131948,M,50-65,26
299,132078,M,50-65,26
300,132179,M,50-65,56
301,132194,M,50-65,57
302,132243,M,35-49,13
303,132251,M,50-65,44
304,132375,M,50-65,33
305,132388,M,50-65,60
306,132464,M,50-65,95
307,132474,M,35-49,13
308,132491,M,35-49,57
309,132500,M,50-65,59
310,132527,M,35-49,41
311,132531,M,50-65,82
312,132716,M,50-65,40
