,CUST_ID,SEX,AGE,DEPARTEMENT
0,107030,M,35-49,59
1,108938,M,50-65,59
2,110899,M,35-49,59
3,114666,M,35-49,59
4,118478,M,50-65,59
5,127790,M,50-65,59
6,133892,M,50-65,59
7,156634,M,35-49,62
8,187833,M,50-65,59
9,199984,M,50-65,59
10,205109,M,50-65,62
11,235297,M,50-65,59
12,244827,M,35-49,59
13,251568,M,>65,59
14,263913,M,50-65,78
15,270220,M,50-65,59
16,275782,M,50-65,59
17,292347,M,35-49,59
18,314647,M,<35,59
19,368080,M,50-65,59
20,403445,M,<35,59
21,416219,M,50-65,78
22,421137,M,35-49,59
23,425954,M,35-49,59
24,427096,M,35-49,59
25,427250,M,35-49,59
26,428202,M,50-65,78
27,432305,M,35-49,59
28,438350,F,50-65,59
29,451363,M,35-49,59
30,460228,M,35-49,62
31,464331,M,50-65,59
32,468837,M,35-49,78
33,471775,M,50-65,78
34,483533,M,35-49,59
35,518902,M,50-65,78
36,519469,M,>65,78
37,519885,M,35-49,78
38,519887,M,50-65,78
39,521885,M,50-65,78
40,523545,M,35-49,59
41,535929,M,50-65,78
42,548624,M,50-65,78
43,552846,M,<35,62
44,552972,M,50-65,78
45,555714,M,35-49,78
46,563837,M,35-49,78
47,565366,M,35-49,78
48,584447,M,50-65,78
49,588437,M,50-65,59
50,602580,M,<35,59
51,603391,M,50-65,62
52,604098,M,50-65,59
53,607784,M,35-49,59
54,610249,M,35-49,78
55,612824,M,<35,59
56,616689,M,35-49,59
57,619437,M,35-49,78
58,622027,M,35-49,78
59,681522,M,50-65,59
60,715341,M,50-65,78
61,719763,M,35-49,78
62,734723,M,35-49,59
63,735292,M,<35,78
64,739860,M,<35,59
65,749414,M,35-49,78
66,751640,M,35-49,59
67,752568,M,50-65,78
68,754685,M,35-49,78
69,761107,M,<35,78
70,838190,M,35-49,59
71,849812,M,35-49,78
72,903640,M,<35,59
73,908778,M,50-65,78
74,911614,M,35-49,78
75,957469,M,35-49,59
76,963615,M,50-65,78
77,964774,M,<35,78
78,975522,M,35-49,78
79,979705,M,<35,59
80,988692,M,35-49,59
81,993844,M,<35,78
82,998545,M,35-49,59
83,999796,M,35-49,59
84,1007975,M,35-49,78
85,1014685,M,<35,78
86,1034094,M,35-49,78
87,1036452,M,35-49,78
88,1037646,M,<35,78
89,1047955,M,<35,78
90,1048011,M,35-49,78
91,1054006,M,<35,78
92,1058591,M,50-65,59
93,1061637,M,<35,59
94,1082751,M,35-49,78
95,1095891,M,35-49,59
96,1097861,M,35-49,78
97,1163691,M,35-49,59
98,1166148,M,<35,62
99,1167207,M,35-49,59
100,1167617,M,50-65,59
101,1168767,M,35-49,59
102,1171591,M,50-65,59
103,1180756,M,35-49,59
104,1198352,M,35-49,59
105,1205586,M,<35,62
106,1236675,M,<35,59
107,1237802,M,35-49,59
