,CUST_ID,SEX,AGE,DEPARTEMENT
0,5,M,35-49,92
1,100032,M,50-65,74
2,100217,M,>65,37
3,100231,M,>65,45
4,100284,M,35-49,08
5,100416,M,>65,95
6,100419,M,50-65,60
7,100566,M,50-65,47
8,100747,M,50-65,15
9,100978,M,50-65,77
10,101020,M,50-65,69
11,101199,M,50-65,51
12,101204,M,50-65,28
13,101212,M,50-65,95
14,101247,M,>65,31
15,101292,M,35-49,13
16,101303,M,50-65,62
17,101532,M,35-49,59
18,101533,M,35-49,94
19,101540,M,35-49,76
20,101544,M,50-65,42
21,101603,M,50-65,56
22,101763,M,50-65,78
23,101909,M,50-65,44
24,101934,M,50-65,17
25,101942,M,50-65,44
26,102046,M,<35,69
27,102081,M,50-65,95
28,102153,M,35-49,77
29,102163,M,35-49,35
30,102292,M,50-65,73
31,102329,M,>65,50
32,102352,M,50-65,33
33,102405,M,50-65,33
34,102753,M,50-65,18
35,102791,M,50-65,14
36,102899,M,35-49,28
37,103001,M,35-49,17
38,103005,M,50-65,81
39,103027,M,35-49,01
40,103140,M,35-49,63
41,103225,M,35-49,17
42,103240,M,50-65,38
43,103512,M,35-49,31
44,103814,M,50-65,78
45,103882,M,50-65,69
46,104059,M,50-65,49
47,104182,M,50-65,14
48,104367,M,50-65,10
49,104626,M,50-65,59
50,104638,M,35-49,26
51,104655,M,35-49,83
52,104728,M,50-65,30
53,104790,M,35-49,59
54,104797,F,50-65,02
55,104804,M,35-49,13
56,104919,M,50-65,75
57,104940,M,50-65,59
58,105098,M,50-65,02
59,105101,M,50-65,93
60,105314,M,50-65,71
61,105351,M,50-65,59
62,105477,M,50-65,84
63,105550,M,35-49,93
64,105615,M,35-49,31
65,105633,M,50-65,28
66,105649,M,35-49,38
67,105832,M,50-65,49
68,105891,M,>65,75
69,105927,M,50-65,91
70,106120,M,50-65,47
71,106157,M,35-49,08
72,106244,M,50-65,38
73,106684,M,35-49,54
74,106711,M,50-65,91
75,106717,M,50-65,59
76,106727,M,50-65,63
77,106937,M,50-65,04
