,CUST_ID,SEX,AGE,DEPARTEMENT
0,107030,M,35-49,59
1,108938,M,50-65,59
2,110899,M,35-49,59
3,114666,M,35-49,59
4,118478,M,50-65,59
5,127790,M,50-65,59
6,133892,M,50-65,59
7,156634,M,35-49,62
8,187833,M,50-65,59
9,199984,M,50-65,59
10,235297,M,50-65,59
11,244827,M,35-49,59
12,251568,M,>65,59
13,263913,M,50-65,78
14,270220,M,50-65,59
15,275782,M,50-65,59
16,292347,M,35-49,59
17,314647,M,<35,59
18,368080,M,50-65,59
19,403445,M,<35,59
20,416219,M,50-65,78
21,421137,M,35-49,59
22,425954,M,35-49,59
23,427096,M,35-49,59
24,427250,M,35-49,59
25,428202,M,50-65,78
26,432305,M,35-49,59
27,438350,F,50-65,59
28,451363,M,35-49,59
29,460228,M,35-49,62
30,464331,M,50-65,59
31,468837,M,35-49,78
32,471775,M,50-65,78
33,483533,M,35-49,59
34,518902,M,50-65,78
35,519469,M,>65,78
36,519885,M,35-49,78
37,519887,M,50-65,78
38,521885,M,50-65,78
39,523545,M,35-49,59
40,535929,M,50-65,78
41,548624,M,50-65,78
42,552846,M,<35,62
43,552972,M,50-65,78
44,555714,M,35-49,78
45,563837,M,35-49,78
46,565366,M,35-49,78
47,584447,M,50-65,78
48,588437,M,50-65,59
49,602580,M,<35,59
50,604098,M,50-65,59
51,607784,M,35-49,59
52,610249,M,35-49,78
53,612824,M,<35,59
54,616689,M,35-49,59
55,619437,M,35-49,78
56,622027,M,35-49,78
57,681522,M,50-65,59
58,715341,M,50-65,78
59,719763,M,35-49,78
60,734723,M,35-49,59
61,735292,M,<35,78
62,739860,M,<35,59
63,749414,M,35-49,78
64,751640,M,35-49,59
65,752568,M,50-65,78
66,754685,M,35-49,78
67,761107,M,<35,78
68,838190,M,35-49,59
69,849812,M,35-49,78
70,903640,M,<35,59
71,908778,M,50-65,78
72,911614,M,35-49,78
73,957469,M,35-49,59
74,963615,M,50-65,78
75,964774,M,<35,78
76,975522,M,35-49,78
77,979705,M,<35,59
78,988692,M,35-49,59
79,993844,M,<35,78
80,998545,M,35-49,59
81,999796,M,35-49,59
82,1007975,M,35-49,78
83,1014685,M,<35,78
84,1034094,M,35-49,78
85,1036452,M,35-49,78
86,1037646,M,<35,78
87,1047955,M,<35,78
88,1048011,M,35-49,78
89,1054006,M,<35,78
90,1058591,M,50-65,59
91,1061637,M,<35,59
92,1082751,M,35-49,78
93,1095891,M,35-49,59
94,1097861,M,35-49,78
95,1163691,M,35-49,59
96,1166148,M,<35,62
97,1167207,M,35-49,59
98,1167617,M,50-65,59
99,1168767,M,35-49,59
100,1171591,M,50-65,59
101,1180756,M,35-49,59
102,1198352,M,35-49,59
103,1205586,M,<35,62
104,1236675,M,<35,59
105,1237802,M,35-49,59
