,CUST_ID,SEX,AGE,DEPARTEMENT
0,107030,M,35-49,59
1,108938,M,50-65,59
2,110899,M,35-49,59
3,114666,M,35-49,59
4,118478,M,50-65,59
5,123777,M,50-65,59
6,127760,M,50-65,78
7,127790,M,50-65,59
8,133070,M,50-65,62
9,133892,M,50-65,59
10,149963,M,50-65,59
11,156634,M,35-49,62
12,167694,F,50-65,59
13,169564,M,50-65,62
14,171222,M,50-65,62
15,187833,M,50-65,59
16,199984,M,50-65,59
17,205109,M,50-65,62
18,216255,F,50-65,78
19,235297,M,50-65,59
20,235462,M,35-49,59
21,241017,M,35-49,78
22,244827,M,35-49,59
23,251568,M,>65,59
24,263913,M,50-65,78
25,263990,F,50-65,78
26,270220,M,50-65,59
27,275782,M,50-65,59
28,278763,M,50-65,78
29,281283,M,<35,78
30,290794,M,50-65,78
31,292347,M,35-49,59
32,294115,M,35-49,78
33,305678,M,50-65,62
34,309153,M,50-65,59
35,314647,M,<35,59
36,322520,M,35-49,59
37,329014,M,50-65,62
38,336730,M,35-49,62
39,348255,M,50-65,78
40,351686,M,35-49,59
41,363692,M,50-65,78
42,364658,M,35-49,78
43,368080,M,50-65,59
44,370988,M,35-49,59
45,372970,M,<35,59
46,376091,F,<35,80
47,380150,M,50-65,78
48,400722,M,50-65,78
49,403445,M,<35,59
50,415279,M,50-65,59
51,416219,M,50-65,78
52,421070,M,50-65,78
53,421137,M,35-49,59
54,425954,M,35-49,59
55,427096,M,35-49,59
56,427250,M,35-49,59
57,428202,M,50-65,78
58,432305,M,35-49,59
59,438350,F,50-65,59
60,451363,M,35-49,59
61,456892,M,35-49,78
62,460228,M,35-49,62
63,464331,M,50-65,59
64,468837,M,35-49,78
65,469829,M,50-65,78
66,471775,M,50-65,78
67,483533,M,35-49,59
68,489055,M,50-65,78
69,490024,M,50-65,78
70,505859,M,>65,78
71,508618,M,<35,78
72,516496,M,<35,78
73,518902,M,50-65,78
74,519469,M,>65,78
75,519885,M,35-49,78
76,519887,M,50-65,78
77,521885,M,50-65,78
78,521982,M,35-49,59
79,523545,M,35-49,59
80,526400,M,50-65,59
81,528367,M,35-49,59
82,528700,M,50-65,78
83,535929,M,50-65,78
84,536334,M,50-65,78
85,540247,M,50-65,78
86,542073,M,50-65,78
87,542084,M,35-49,07
88,545984,M,35-49,78
89,548624,M,50-65,78
90,552846,M,<35,62
91,552972,M,50-65,78
92,553832,M,35-49,78
93,554673,M,<35,59
94,555714,M,35-49,78
95,556301,M,50-65,78
96,563837,M,35-49,78
97,565366,M,35-49,78
98,567971,M,35-49,59
99,574634,M,35-49,78
100,576327,M,35-49,78
101,578639,M,35-49,78
102,584447,M,50-65,78
103,585878,F,35-49,78
104,588437,M,50-65,59
105,594666,M,50-65,59
106,600388,M,35-49,59
107,602580,M,<35,59
108,602649,M,<35,78
109,604098,M,50-65,59
110,607784,M,35-49,59
111,610037,F,35-49,59
112,610249,M,35-49,78
113,612824,M,<35,59
114,614220,M,<35,78
115,616225,M,35-49,59
116,616689,M,35-49,59
117,619437,M,35-49,78
118,622013,M,35-49,59
119,622027,M,35-49,78
120,681522,M,50-65,59
121,715341,M,50-65,78
122,719763,M,35-49,78
123,734723,M,35-49,59
124,735292,M,<35,78
125,739860,M,<35,59
126,746930,M,35-49,62
127,749038,M,50-65,59
128,749414,M,35-49,78
129,751356,M,35-49,78
130,751640,M,35-49,59
131,752568,M,50-65,78
132,754685,M,35-49,78
133,754772,M,<35,78
134,754776,M,35-49,78
135,758594,M,35-49,78
136,761107,M,<35,78
137,772088,F,35-49,78
138,779524,M,35-49,59
139,786504,M,35-49,59
140,828469,M,35-49,59
141,838190,M,35-49,59
142,840055,M,35-49,78
143,842240,M,50-65,78
144,842314,M,50-65,78
145,849340,F,35-49,62
146,849812,M,35-49,78
147,860435,M,35-49,59
148,863993,M,35-49,78
149,865290,M,50-65,59
150,867332,M,35-49,62
151,872971,F,<35,59
152,902696,M,35-49,78
153,903640,M,<35,59
154,908778,M,50-65,78
155,911614,M,35-49,78
156,911665,M,<35,78
