,user_id,group_id,period
0,56,5981,1996-08
1,102,5981,1996-08
2,130,5981,1996-08
3,134,5981,1996-08
4,142,5981,1996-08
5,145,5981,1996-08
6,229,5981,1996-08
7,235,5981,1996-08
8,411,5981,1996-08
9,436,5981,1996-08
10,455,5981,1996-08
11,468,5981,1996-08
12,498,5981,1996-08
13,541,5981,1996-08
14,592,5981,1996-08
15,102,184,1996-08
16,145,184,1996-08
17,170,184,1996-08
18,176,184,1996-08
19,179,184,1996-08
20,229,184,1996-08
21,235,184,1996-08
22,385,184,1996-08
23,394,184,1996-08
24,468,184,1996-08
25,498,184,1996-08
26,541,184,1996-08
27,574,184,1996-08
28,584,184,1996-08
29,592,184,1996-08
30,40,4808,1996-08
31,102,4808,1996-08
32,107,4808,1996-08
33,136,4808,1996-08
34,145,4808,1996-08
35,229,4808,1996-08
36,235,4808,1996-08
37,353,4808,1996-08
38,468,4808,1996-08
39,476,4808,1996-08
40,498,4808,1996-08
41,541,4808,1996-08
42,592,4808,1996-08
43,102,187,1996-08
44,145,187,1996-08
45,229,187,1996-08
46,235,187,1996-08
47,468,187,1996-08
48,498,187,1996-08
49,541,187,1996-08
50,592,187,1996-08
51,102,132,1996-08
52,130,132,1996-08
53,145,132,1996-08
54,243,132,1996-08
55,385,132,1996-08
56,394,132,1996-08
57,395,132,1996-08
58,436,132,1996-08
59,455,132,1996-08
60,498,132,1996-08
61,40,4809,1996-08
62,102,4809,1996-08
63,130,4809,1996-08
64,136,4809,1996-08
65,145,4809,1996-08
66,353,4809,1996-08
67,404,4809,1996-08
68,436,4809,1996-08
69,455,4809,1996-08
70,476,4809,1996-08
71,486,4809,1996-08
72,498,4809,1996-08
73,512,4809,1996-08
74,588,4809,1996-08
75,602,4809,1996-08
76,102,133,1996-08
77,130,133,1996-08
78,145,133,1996-08
79,436,133,1996-08
80,455,133,1996-08
81,498,133,1996-08
82,26,3279,1996-08
83,38,3279,1996-08
84,40,3279,1996-08
85,102,3279,1996-08
86,109,3279,1996-08
87,136,3279,1996-08
88,145,3279,1996-08
89,353,3279,1996-08
90,385,3279,1996-08
91,394,3279,1996-08
92,476,3279,1996-08
93,498,3279,1996-08
94,604,3279,1996-08
95,102,190,1996-08
96,145,190,1996-08
97,385,190,1996-08
98,394,190,1996-08
99,498,190,1996-08
100,40,4811,1996-08
101,102,4811,1996-08
102,136,4811,1996-08
103,145,4811,1996-08
104,353,4811,1996-08
105,476,4811,1996-08
106,498,4811,1996-08
107,102,201,1996-08
108,145,201,1996-08
109,498,201,1996-08
110,54,5951,1996-08
111,56,5951,1996-08
112,130,5951,1996-08
113,145,5951,1996-08
114,179,5951,1996-08
115,235,5951,1996-08
116,242,5951,1996-08
117,314,5951,1996-08
118,395,5951,1996-08
119,411,5951,1996-08
120,455,5951,1996-08
121,592,5951,1996-08
122,40,4967,1996-08
123,56,4967,1996-08
124,107,4967,1996-08
125,130,4967,1996-08
126,145,4967,1996-08
127,235,4967,1996-08
128,411,4967,1996-08
129,455,4967,1996-08
130,476,4967,1996-08
131,592,4967,1996-08
132,602,4967,1996-08
133,56,6027,1996-08
134,130,6027,1996-08
135,145,6027,1996-08
136,235,6027,1996-08
137,411,6027,1996-08
138,455,6027,1996-08
139,592,6027,1996-08
140,38,4482,1996-08
141,40,4482,1996-08
142,107,4482,1996-08
143,145,4482,1996-08
144,179,4482,1996-08
145,235,4482,1996-08
146,284,4482,1996-08
147,476,4482,1996-08
148,592,4482,1996-08
149,604,4482,1996-08
150,145,1998,1996-08
151,179,1998,1996-08
152,235,1998,1996-08
153,592,1998,1996-08
154,40,4821,1996-08
155,107,4821,1996-08
156,145,4821,1996-08
157,235,4821,1996-08
158,476,4821,1996-08
159,592,4821,1996-08
160,145,2009,1996-08
161,235,2009,1996-08
162,592,2009,1996-08
163,38,4489,1996-08
164,40,4489,1996-08
165,130,4489,1996-08
166,145,4489,1996-08
167,395,4489,1996-08
168,455,4489,1996-08
169,476,4489,1996-08
170,602,4489,1996-08
171,604,4489,1996-08
172,130,1406,1996-08
173,145,1406,1996-08
174,395,1406,1996-08
175,455,1406,1996-08
176,40,4840,1996-08
177,130,4840,1996-08
178,145,4840,1996-08
179,455,4840,1996-08
180,476,4840,1996-08
181,602,4840,1996-08
182,130,1408,1996-08
183,145,1408,1996-08
184,455,1408,1996-08
185,38,4507,1996-08
186,40,4507,1996-08
187,145,4507,1996-08
188,476,4507,1996-08
189,604,4507,1996-08
190,40,4886,1996-08
191,145,4886,1996-08
192,476,4886,1996-08
193,8,6862,1996-08
194,142,6862,1996-08
195,145,6862,1996-08
196,170,6862,1996-08
197,176,6862,1996-08
198,242,6862,1996-08
199,411,6862,1996-08
200,436,6862,1996-08
201,447,6862,1996-08
202,455,6862,1996-08
203,498,6862,1996-08
204,40,4846,1996-08
205,136,4846,1996-08
206,142,4846,1996-08
207,145,4846,1996-08
208,404,4846,1996-08
209,411,4846,1996-08
210,436,4846,1996-08
211,455,4846,1996-08
212,498,4846,1996-08
213,512,4846,1996-08
214,588,4846,1996-08
215,602,4846,1996-08
216,142,1944,1996-08
217,145,1944,1996-08
218,411,1944,1996-08
219,436,1944,1996-08
220,455,1944,1996-08
221,498,1944,1996-08
222,38,4491,1996-08
223,40,4491,1996-08
224,136,4491,1996-08
225,145,4491,1996-08
226,170,4491,1996-08
227,176,4491,1996-08
228,498,4491,1996-08
229,604,4491,1996-08
230,145,1993,1996-08
231,170,1993,1996-08
232,176,1993,1996-08
233,498,1993,1996-08
234,38,4492,1996-08
235,40,4492,1996-08
236,136,4492,1996-08
237,145,4492,1996-08
238,404,4492,1996-08
239,436,4492,1996-08
240,455,4492,1996-08
241,498,4492,1996-08
242,512,4492,1996-08
243,588,4492,1996-08
244,602,4492,1996-08
245,604,4492,1996-08
246,40,4847,1996-08
247,136,4847,1996-08
248,145,4847,1996-08
249,404,4847,1996-08
250,436,4847,1996-08
251,455,4847,1996-08
252,498,4847,1996-08
253,512,4847,1996-08
254,588,4847,1996-08
255,602,4847,1996-08
256,145,2033,1996-08
257,436,2033,1996-08
258,455,2033,1996-08
259,498,2033,1996-08
260,38,4493,1996-08
261,40,4493,1996-08
262,136,4493,1996-08
263,145,4493,1996-08
264,498,4493,1996-08
265,604,4493,1996-08
266,40,4848,1996-08
267,136,4848,1996-08
268,145,4848,1996-08
269,498,4848,1996-08
270,38,4501,1996-08
271,40,4501,1996-08
272,145,4501,1996-08
273,242,4501,1996-08
274,411,4501,1996-08
275,455,4501,1996-08
276,602,4501,1996-08
277,604,4501,1996-08
278,145,2011,1996-08
279,242,2011,1996-08
280,411,2011,1996-08
281,455,2011,1996-08
282,56,6029,1996-08
283,130,6029,1996-08
284,179,6029,1996-08
285,242,6029,1996-08
286,395,6029,1996-08
287,447,6029,1996-08
288,455,6029,1996-08
289,485,6029,1996-08
290,584,6029,1996-08
291,40,4969,1996-08
292,56,4969,1996-08
293,107,4969,1996-08
294,130,4969,1996-08
295,353,4969,1996-08
296,404,4969,1996-08
297,455,4969,1996-08
298,486,4969,1996-08
299,512,4969,1996-08
300,602,4969,1996-08
301,40,4823,1996-08
302,107,4823,1996-08
303,179,4823,1996-08
