,user_id,group_id,period
0,38,1229,1996-08
1,107,1229,1996-08
2,109,1229,1996-08
3,130,1229,1996-08
4,176,1229,1996-08
5,179,1229,1996-08
6,229,1229,1996-08
7,447,1229,1996-08
8,486,1229,1996-08
9,498,1229,1996-08
10,512,1229,1996-08
11,574,1229,1996-08
12,588,1229,1996-08
13,602,1229,1996-08
14,109,134,1996-08
15,179,134,1996-08
16,284,134,1996-08
17,486,134,1996-08
18,498,134,1996-08
19,512,134,1996-08
20,536,134,1996-08
21,541,134,1996-08
22,584,134,1996-08
23,592,134,1996-08
24,109,129,1996-08
25,162,129,1996-08
26,179,129,1996-08
27,455,129,1996-08
28,476,129,1996-08
29,486,129,1996-08
30,498,129,1996-08
31,512,129,1996-08
32,109,135,1996-08
33,179,135,1996-08
34,486,135,1996-08
35,498,135,1996-08
36,512,135,1996-08
37,46,1620,1996-08
38,134,1620,1996-08
39,176,1620,1996-08
40,512,1620,1996-08
41,574,1620,1996-08
42,588,1620,1996-08
43,592,1620,1996-08
44,602,1620,1996-08
45,176,430,1996-08
46,353,430,1996-08
47,455,430,1996-08
48,512,430,1996-08
49,574,430,1996-08
50,588,430,1996-08
51,602,430,1996-08
52,176,437,1996-08
53,512,437,1996-08
54,574,437,1996-08
55,588,437,1996-08
56,602,437,1996-08
57,56,1846,1996-08
58,235,1846,1996-08
59,349,1846,1996-08
60,411,1846,1996-08
61,444,1846,1996-08
62,455,1846,1996-08
63,485,1846,1996-08
64,512,1846,1996-08
65,592,1846,1996-08
66,107,121,1996-08
67,229,121,1996-08
68,486,121,1996-08
69,498,121,1996-08
70,536,121,1996-08
71,584,121,1996-08
72,592,121,1996-08
73,40,1394,1996-08
74,99,1394,1996-08
75,107,1394,1996-08
76,229,1394,1996-08
77,385,1394,1996-08
78,486,1394,1996-08
79,498,1394,1996-08
80,107,120,1996-08
81,229,120,1996-08
82,486,120,1996-08
83,498,120,1996-08
84,192,526,1996-08
85,235,526,1996-08
86,411,526,1996-08
87,485,526,1996-08
88,486,526,1996-08
89,498,526,1996-08
90,536,526,1996-08
91,584,526,1996-08
92,592,526,1996-08
93,486,1730,1996-08
94,498,1730,1996-08
95,536,1730,1996-08
96,584,1730,1996-08
97,592,1730,1996-08
98,142,297,1996-08
99,235,297,1996-08
100,411,297,1996-08
101,485,297,1996-08
102,592,297,1996-08
103,235,709,1996-08
104,411,709,1996-08
105,485,709,1996-08
106,592,709,1996-08
107,40,1395,1996-08
108,99,1395,1996-08
109,109,1395,1996-08
110,229,1395,1996-08
111,353,1395,1996-08
112,447,1395,1996-08
113,486,1395,1996-08
114,512,1395,1996-08
115,588,1395,1996-08
116,602,1395,1996-08
117,109,137,1996-08
118,229,137,1996-08
119,447,137,1996-08
120,486,137,1996-08
121,512,137,1996-08
122,588,137,1996-08
123,602,137,1996-08
124,102,81,1996-08
125,109,81,1996-08
126,411,81,1996-08
127,444,81,1996-08
128,486,81,1996-08
129,512,81,1996-08
130,109,143,1996-08
131,486,143,1996-08
132,512,143,1996-08
133,142,299,1996-08
134,242,299,1996-08
135,353,299,1996-08
136,411,299,1996-08
137,444,299,1996-08
138,512,299,1996-08
139,588,299,1996-08
140,602,299,1996-08
141,604,299,1996-08
142,40,1396,1996-08
143,99,1396,1996-08
144,142,1396,1996-08
145,229,1396,1996-08
146,411,1396,1996-08
147,486,1396,1996-08
148,40,1398,1996-08
149,99,1398,1996-08
150,229,1398,1996-08
151,486,1398,1996-08
152,38,1246,1996-08
153,46,1246,1996-08
154,136,1246,1996-08
155,176,1246,1996-08
156,229,1246,1996-08
157,486,1246,1996-08
158,498,1246,1996-08
159,512,1246,1996-08
160,541,1246,1996-08
161,588,1246,1996-08
162,592,1246,1996-08
163,602,1246,1996-08
164,38,1232,1996-08
165,176,1232,1996-08
166,229,1232,1996-08
167,353,1232,1996-08
168,476,1232,1996-08
169,486,1232,1996-08
170,498,1232,1996-08
171,512,1232,1996-08
172,588,1232,1996-08
173,602,1232,1996-08
174,38,1233,1996-08
175,176,1233,1996-08
176,229,1233,1996-08
177,486,1233,1996-08
178,498,1233,1996-08
179,512,1233,1996-08
180,588,1233,1996-08
181,602,1233,1996-08
182,476,1705,1996-08
183,486,1705,1996-08
184,498,1705,1996-08
185,512,1705,1996-08
186,541,1705,1996-08
187,592,1705,1996-08
188,486,1729,1996-08
189,498,1729,1996-08
190,512,1729,1996-08
191,541,1729,1996-08
192,592,1729,1996-08
193,476,1704,1996-08
194,486,1704,1996-08
195,498,1704,1996-08
196,512,1704,1996-08
197,486,1728,1996-08
198,498,1728,1996-08
199,512,1728,1996-08
200,46,1633,1996-08
201,176,1633,1996-08
202,242,1633,1996-08
203,353,1633,1996-08
204,512,1633,1996-08
205,588,1633,1996-08
206,592,1633,1996-08
207,602,1633,1996-08
208,46,1635,1996-08
209,176,1635,1996-08
210,512,1635,1996-08
211,588,1635,1996-08
212,592,1635,1996-08
213,602,1635,1996-08
214,176,432,1996-08
215,353,432,1996-08
216,512,432,1996-08
217,588,432,1996-08
218,602,432,1996-08
219,176,439,1996-08
220,512,439,1996-08
221,588,439,1996-08
222,602,439,1996-08
223,512,1781,1996-08
224,592,1781,1996-08
225,229,689,1996-08
226,486,689,1996-08
227,498,689,1996-08
228,592,689,1996-08
229,229,688,1996-08
230,486,688,1996-08
231,498,688,1996-08
232,486,1733,1996-08
233,498,1733,1996-08
234,592,1733,1996-08
235,229,680,1996-08
236,242,680,1996-08
237,353,680,1996-08
238,486,680,1996-08
239,512,680,1996-08
240,588,680,1996-08
241,602,680,1996-08
242,229,684,1996-08
243,353,684,1996-08
244,486,684,1996-08
245,512,684,1996-08
246,588,684,1996-08
247,602,684,1996-08
248,229,690,1996-08
249,486,690,1996-08
250,512,690,1996-08
251,588,690,1996-08
252,602,690,1996-08
253,242,745,1996-08
254,353,745,1996-08
255,512,745,1996-08
256,588,745,1996-08
257,602,745,1996-08
258,353,1194,1996-08
259,512,1194,1996-08
260,588,1194,1996-08
261,602,1194,1996-08
262,38,1247,1996-08
263,46,1247,1996-08
264,394,1247,1996-08
265,512,1247,1996-08
266,541,1247,1996-08
267,588,1247,1996-08
268,602,1247,1996-08
269,8,2159,1996-08
270,38,2159,1996-08
271,512,2159,1996-08
272,588,2159,1996-08
273,602,2159,1996-08
274,444,1533,1996-08
275,512,1533,1996-08
276,541,1533,1996-08
277,46,1630,1996-08
278,142,1630,1996-08
279,444,1630,1996-08
280,512,1630,1996-08
281,588,1630,1996-08
282,602,1630,1996-08
283,35,1159,1996-08
284,142,1159,1996-08
285,142,294,1996-08
286,191,294,1996-08
287,444,294,1996-08
288,512,294,1996-08
289,588,294,1996-08
290,602,294,1996-08
291,142,307,1996-08
292,444,307,1996-08
293,512,307,1996-08
294,588,307,1996-08
295,602,307,1996-08
296,38,1248,1996-08
297,46,1248,1996-08
298,512,1248,1996-08
299,541,1248,1996-08
300,588,1248,1996-08
301,602,1248,1996-08
302,38,1251,1996-08
303,512,1251,1996-08
304,588,1251,1996-08
305,602,1251,1996-08
306,512,1778,1996-08
307,541,1778,1996-08
308,46,1670,1996-08
309,512,1670,1996-08
310,588,1670,1996-08
311,602,1670,1996-08
312,512,1780,1996-08
313,588,1780,1996-08
314,602,1780,1996-08
315,38,1250,1996-08
316,512,1250,1996-08
317,536,1250,1996-08
318,602,1250,1996-08
319,8,2158,1996-08
320,38,2158,1996-08
321,162,2158,1996-08
322,314,2158,1996-08
323,455,2158,1996-08
324,512,2158,1996-08
325,602,2158,1996-08
326,162,375,1996-08
327,235,375,1996-08
328,411,375,1996-08
329,444,375,1996-08
330,455,375,1996-08
331,512,375,1996-08
332,536,375,1996-08
333,512,1777,1996-08
334,536,1777,1996-08
335,162,380,1996-08
336,455,380,1996-08
337,512,380,1996-08
338,142,296,1996-08
339,235,296,1996-08
340,411,296,1996-08
341,444,296,1996-08
342,455,296,1996-08
343,512,296,1996-08
344,602,296,1996-08
345,455,1608,1996-08
346,512,1608,1996-08
347,602,1608,1996-08
348,235,708,1996-08
349,411,708,1996-08
350,444,708,1996-08
351,455,708,1996-08
352,512,708,1996-08
353,455,1607,1996-08
354,512,1607,1996-08
355,142,298,1996-08
356,235,298,1996-08
357,411,298,1996-08
358,536,298,1996-08
359,235,711,1996-08
360,411,711,1996-08
361,536,711,1996-08
362,142,295,1996-08
363,235,295,1996-08
364,411,295,1996-08
365,142,304,1996-08
366,411,304,1996-08
367,444,304,1996-08
368,512,304,1996-08
369,602,304,1996-08
370,411,1426,1996-08
371,444,1426,1996-08
372,512,1426,1996-08
373,142,303,1996-08
374,411,303,1996-08
375,38,1245,1996-08
376,436,1245,1996-08
377,512,1245,1996-08
378,602,1245,1996-08
379,8,2157,1996-08
380,38,2157,1996-08
381,142,2157,1996-08
382,444,2157,1996-08
383,512,2157,1996-08
384,602,2157,1996-08
385,8,2160,1996-08
386,38,2160,1996-08
387,512,2160,1996-08
388,602,2160,1996-08
389,142,308,1996-08
390,444,308,1996-08
