,user_id,group_id,period
0,136,48,1996-08
1,411,48,1996-08
2,436,48,1996-08
3,584,48,1996-08
4,602,48,1996-08
5,235,188,1996-08
6,314,188,1996-08
7,394,188,1996-08
8,40,363,1996-08
9,485,363,1996-08
10,588,363,1996-08
11,136,42,1996-08
12,145,42,1996-08
13,314,42,1996-08
14,394,42,1996-08
15,436,42,1996-08
16,498,42,1996-08
17,136,50,1996-08
18,436,50,1996-08
19,588,50,1996-08
20,136,49,1996-08
21,436,49,1996-08
22,191,128,1996-08
23,314,128,1996-08
24,394,128,1996-08
25,588,128,1996-08
26,136,51,1996-08
27,584,51,1996-08
28,602,51,1996-08
29,38,319,1996-08
30,191,319,1996-08
31,468,406,1996-08
32,584,406,1996-08
33,14,62,1996-08
34,602,62,1996-08
35,604,62,1996-08
36,40,365,1996-08
37,602,365,1996-08
38,40,364,1996-08
39,541,364,1996-08
40,14,58,1996-08
41,314,58,1996-08
42,99,556,1996-08
43,136,556,1996-08
44,588,556,1996-08
45,136,52,1996-08
46,588,52,1996-08
47,436,393,1996-08
48,584,393,1996-08
49,99,560,1996-08
50,436,560,1996-08
51,14,59,1996-08
52,411,59,1996-08
53,411,372,1996-08
54,588,372,1996-08
55,38,326,1996-08
56,541,326,1996-08
57,588,326,1996-08
58,14,60,1996-08
59,541,60,1996-08
60,38,320,1996-08
61,235,320,1996-08
62,136,45,1996-08
63,314,45,1996-08
64,604,45,1996-08
65,314,272,1996-08
66,588,272,1996-08
67,38,324,1996-08
68,485,324,1996-08
69,588,324,1996-08
70,485,419,1996-08
71,588,419,1996-08
72,38,327,1996-08
73,588,327,1996-08
74,235,190,1996-08
75,394,190,1996-08
76,99,559,1996-08
77,353,559,1996-08
78,429,559,1996-08
79,99,558,1996-08
80,353,558,1996-08
81,26,200,1996-08
82,38,200,1996-08
83,314,200,1996-08
84,411,371,1996-08
85,512,371,1996-08
86,602,371,1996-08
87,411,373,1996-08
88,602,373,1996-08
89,38,323,1996-08
90,411,323,1996-08
91,394,354,1996-08
92,588,354,1996-08
93,14,61,1996-08
94,588,61,1996-08
95,536,436,1996-08
96,588,436,1996-08
97,191,131,1996-08
98,584,131,1996-08
99,191,129,1996-08
100,353,129,1996-08
101,353,297,1996-08
102,584,297,1996-08
103,136,43,1996-08
104,191,43,1996-08
105,191,127,1996-08
106,314,127,1996-08
107,191,130,1996-08
108,468,130,1996-08
109,38,318,1996-08
110,136,318,1996-08
111,38,325,1996-08
112,541,325,1996-08
113,38,321,1996-08
114,385,321,1996-08
115,38,322,1996-08
116,40,322,1996-08
117,136,44,1996-08
118,314,44,1996-08
119,314,270,1996-08
120,411,270,1996-08
121,102,8,1996-08
122,136,8,1996-08
123,102,7,1996-08
124,109,7,1996-08
125,349,291,1996-08
126,468,291,1996-08
127,235,189,1996-08
128,314,189,1996-08
129,602,189,1996-08
130,235,187,1996-08
131,314,187,1996-08
132,353,296,1996-08
133,436,296,1996-08
134,468,407,1996-08
135,602,407,1996-08
136,541,437,1996-08
137,602,437,1996-08
138,385,338,1996-08
139,541,338,1996-08
140,314,269,1996-08
141,394,269,1996-08
142,284,224,1996-08
143,588,224,1996-08
144,136,53,1996-08
145,602,53,1996-08
146,314,271,1996-08
147,541,271,1996-08
148,385,339,1996-08
149,602,339,1996-08
150,99,557,1996-08
151,191,557,1996-08
152,136,47,1996-08
153,411,47,1996-08
154,353,295,1996-08
155,411,295,1996-08
156,109,13,1996-08
157,136,13,1996-08
158,314,268,1996-08
159,353,268,1996-08
160,136,46,1996-08
161,353,46,1996-08
162,130,30,1996-08
163,394,30,1996-08
164,38,328,1996-08
165,602,328,1996-08
166,58,459,1997-02
167,94,459,1997-02
168,117,459,1997-02
169,121,459,1997-02
170,373,459,1997-02
171,94,550,1997-02
172,373,550,1997-02
173,386,550,1997-02
174,81,510,1997-02
175,126,510,1997-02
176,373,510,1997-02
177,446,510,1997-02
178,566,510,1997-02
179,117,27,1997-02
180,373,27,1997-02
181,6,471,1997-02
182,94,471,1997-02
183,117,471,1997-02
184,94,545,1997-02
185,126,545,1997-02
186,386,545,1997-02
187,94,540,1997-02
188,117,540,1997-02
189,386,540,1997-02
190,94,539,1997-02
191,117,539,1997-02
192,6,462,1997-02
193,126,462,1997-02
194,81,515,1997-02
195,446,515,1997-02
196,373,311,1997-02
197,386,311,1997-02
198,524,311,1997-02
199,58,456,1997-02
200,373,456,1997-02
