,user_id,group_id,period
0,38,151,1996-08
1,107,151,1996-08
2,109,151,1996-08
3,130,151,1996-08
4,176,151,1996-08
5,179,151,1996-08
6,229,151,1996-08
7,447,151,1996-08
8,486,151,1996-08
9,498,151,1996-08
10,512,151,1996-08
11,574,151,1996-08
12,588,151,1996-08
13,602,151,1996-08
14,109,27,1996-08
15,179,27,1996-08
16,284,27,1996-08
17,486,27,1996-08
18,498,27,1996-08
19,512,27,1996-08
20,536,27,1996-08
21,541,27,1996-08
22,584,27,1996-08
23,592,27,1996-08
24,109,25,1996-08
25,162,25,1996-08
26,179,25,1996-08
27,455,25,1996-08
28,476,25,1996-08
29,486,25,1996-08
30,498,25,1996-08
31,512,25,1996-08
32,109,28,1996-08
33,179,28,1996-08
34,486,28,1996-08
35,498,28,1996-08
36,512,28,1996-08
37,46,180,1996-08
38,134,180,1996-08
39,176,180,1996-08
40,512,180,1996-08
41,574,180,1996-08
42,588,180,1996-08
43,592,180,1996-08
44,602,180,1996-08
45,176,60,1996-08
46,353,60,1996-08
47,455,60,1996-08
48,512,60,1996-08
49,574,60,1996-08
50,588,60,1996-08
51,602,60,1996-08
52,176,63,1996-08
53,512,63,1996-08
54,574,63,1996-08
55,588,63,1996-08
56,602,63,1996-08
57,56,215,1996-08
58,235,215,1996-08
59,349,215,1996-08
60,411,215,1996-08
61,444,215,1996-08
62,455,215,1996-08
63,485,215,1996-08
64,512,215,1996-08
65,592,215,1996-08
66,107,24,1996-08
67,229,24,1996-08
68,486,24,1996-08
69,498,24,1996-08
70,536,24,1996-08
71,584,24,1996-08
72,592,24,1996-08
73,40,164,1996-08
74,99,164,1996-08
75,107,164,1996-08
76,229,164,1996-08
77,385,164,1996-08
78,486,164,1996-08
79,498,164,1996-08
80,192,104,1996-08
81,235,104,1996-08
82,411,104,1996-08
83,485,104,1996-08
84,486,104,1996-08
85,498,104,1996-08
86,536,104,1996-08
87,584,104,1996-08
88,592,104,1996-08
89,486,197,1996-08
90,498,197,1996-08
91,536,197,1996-08
92,584,197,1996-08
93,592,197,1996-08
94,142,44,1996-08
95,235,44,1996-08
96,411,44,1996-08
97,485,44,1996-08
98,592,44,1996-08
99,40,165,1996-08
100,99,165,1996-08
101,109,165,1996-08
102,229,165,1996-08
103,353,165,1996-08
104,447,165,1996-08
105,486,165,1996-08
106,512,165,1996-08
107,588,165,1996-08
108,602,165,1996-08
109,109,29,1996-08
110,229,29,1996-08
111,447,29,1996-08
112,486,29,1996-08
113,512,29,1996-08
114,588,29,1996-08
115,602,29,1996-08
116,102,18,1996-08
117,109,18,1996-08
118,411,18,1996-08
119,444,18,1996-08
120,486,18,1996-08
121,512,18,1996-08
122,142,45,1996-08
123,242,45,1996-08
124,353,45,1996-08
125,411,45,1996-08
126,444,45,1996-08
127,512,45,1996-08
128,588,45,1996-08
129,602,45,1996-08
130,604,45,1996-08
131,40,166,1996-08
132,99,166,1996-08
133,142,166,1996-08
134,229,166,1996-08
135,411,166,1996-08
136,486,166,1996-08
137,38,154,1996-08
138,46,154,1996-08
139,136,154,1996-08
140,176,154,1996-08
141,229,154,1996-08
142,486,154,1996-08
143,498,154,1996-08
144,512,154,1996-08
145,541,154,1996-08
146,588,154,1996-08
147,592,154,1996-08
148,602,154,1996-08
149,38,152,1996-08
150,176,152,1996-08
151,229,152,1996-08
152,353,152,1996-08
153,476,152,1996-08
154,486,152,1996-08
155,498,152,1996-08
156,512,152,1996-08
157,588,152,1996-08
158,602,152,1996-08
159,38,153,1996-08
160,176,153,1996-08
161,229,153,1996-08
162,486,153,1996-08
163,498,153,1996-08
164,512,153,1996-08
165,588,153,1996-08
166,602,153,1996-08
167,476,195,1996-08
168,486,195,1996-08
169,498,195,1996-08
170,512,195,1996-08
171,541,195,1996-08
172,592,195,1996-08
173,486,196,1996-08
174,498,196,1996-08
175,512,196,1996-08
176,541,196,1996-08
177,592,196,1996-08
178,46,186,1996-08
179,176,186,1996-08
180,242,186,1996-08
181,353,186,1996-08
182,512,186,1996-08
183,588,186,1996-08
184,592,186,1996-08
185,602,186,1996-08
186,46,187,1996-08
187,176,187,1996-08
188,512,187,1996-08
189,588,187,1996-08
190,592,187,1996-08
191,602,187,1996-08
192,176,62,1996-08
193,353,62,1996-08
194,512,62,1996-08
195,588,62,1996-08
196,602,62,1996-08
197,229,113,1996-08
198,242,113,1996-08
199,353,113,1996-08
200,486,113,1996-08
201,512,113,1996-08
202,588,113,1996-08
203,602,113,1996-08
204,229,114,1996-08
205,353,114,1996-08
206,486,114,1996-08
207,512,114,1996-08
208,588,114,1996-08
209,602,114,1996-08
210,229,116,1996-08
211,486,116,1996-08
212,512,116,1996-08
213,588,116,1996-08
214,602,116,1996-08
215,242,120,1996-08
216,353,120,1996-08
217,512,120,1996-08
218,588,120,1996-08
219,602,120,1996-08
220,38,155,1996-08
221,46,155,1996-08
222,394,155,1996-08
223,512,155,1996-08
224,541,155,1996-08
225,588,155,1996-08
226,602,155,1996-08
227,8,267,1996-08
228,38,267,1996-08
229,512,267,1996-08
230,588,267,1996-08
231,602,267,1996-08
232,46,185,1996-08
233,142,185,1996-08
234,444,185,1996-08
235,512,185,1996-08
236,588,185,1996-08
237,602,185,1996-08
238,142,42,1996-08
239,191,42,1996-08
240,444,42,1996-08
241,512,42,1996-08
242,588,42,1996-08
243,602,42,1996-08
244,142,48,1996-08
245,444,48,1996-08
246,512,48,1996-08
247,588,48,1996-08
248,602,48,1996-08
249,38,156,1996-08
250,46,156,1996-08
251,512,156,1996-08
252,541,156,1996-08
253,588,156,1996-08
254,602,156,1996-08
255,8,266,1996-08
256,38,266,1996-08
257,162,266,1996-08
258,314,266,1996-08
259,455,266,1996-08
260,512,266,1996-08
261,602,266,1996-08
262,162,51,1996-08
263,235,51,1996-08
264,411,51,1996-08
265,444,51,1996-08
266,455,51,1996-08
267,512,51,1996-08
268,536,51,1996-08
269,142,43,1996-08
270,235,43,1996-08
271,411,43,1996-08
272,444,43,1996-08
273,455,43,1996-08
274,512,43,1996-08
