,users,period
0,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
1,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
2,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
3,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
4,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
5,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
6,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
7,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
8,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
9,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
