,user_id,group_id,period
0,99,452,1996-04
1,191,452,1996-04
2,107,24,1996-05
3,536,24,1996-05
4,107,22,1996-05
5,130,22,1996-05
6,40,282,1996-05
7,107,282,1996-05
8,107,23,1996-05
9,134,23,1996-05
10,35,241,1996-05
11,107,241,1996-05
12,468,241,1996-05
13,353,248,1996-05
14,444,248,1996-05
15,604,248,1996-05
16,35,242,1996-05
17,40,242,1996-05
18,136,54,1996-05
19,284,54,1996-05
20,40,284,1996-05
21,353,284,1996-05
22,353,247,1996-05
23,444,247,1996-05
24,353,246,1996-05
25,436,246,1996-05
26,40,285,1996-05
27,444,285,1996-05
28,35,243,1996-05
29,536,243,1996-05
30,40,286,1996-05
31,536,286,1996-05
32,136,55,1996-05
33,353,55,1996-05
34,284,201,1996-05
35,353,201,1996-05
36,136,57,1996-05
37,536,57,1996-05
38,284,202,1996-05
39,536,202,1996-05
40,136,56,1996-05
41,468,56,1996-05
42,40,283,1996-05
43,136,283,1996-05
44,134,53,1996-05
45,468,53,1996-05
46,56,384,1996-06
47,349,384,1996-06
48,411,384,1996-06
49,56,381,1996-06
50,102,381,1996-06
51,584,381,1996-06
52,56,383,1996-06
53,242,383,1996-06
54,574,383,1996-06
55,14,59,1996-06
56,574,59,1996-06
57,584,59,1996-06
58,192,114,1996-06
59,349,114,1996-06
60,541,114,1996-06
61,584,114,1996-06
62,56,382,1996-06
63,192,382,1996-06
64,411,382,1996-06
65,541,382,1996-06
66,584,382,1996-06
67,56,385,1996-06
68,411,385,1996-06
69,192,116,1996-06
70,541,116,1996-06
71,584,116,1996-06
72,411,290,1996-06
73,476,290,1996-06
74,541,290,1996-06
75,584,290,1996-06
76,46,339,1996-06
77,541,339,1996-06
78,584,339,1996-06
79,46,329,1996-06
80,273,329,1996-06
81,411,329,1996-06
82,46,334,1996-06
83,411,334,1996-06
84,584,334,1996-06
85,46,333,1996-06
86,411,333,1996-06
87,192,115,1996-06
88,411,115,1996-06
89,584,115,1996-06
90,385,262,1996-06
91,584,262,1996-06
92,314,217,1996-06
93,385,217,1996-06
94,476,217,1996-06
95,46,340,1996-06
96,56,340,1996-06
97,273,340,1996-06
98,56,387,1996-06
99,584,387,1996-06
100,46,327,1996-06
101,242,327,1996-06
102,46,336,1996-06
103,476,336,1996-06
104,541,336,1996-06
105,46,331,1996-06
106,273,331,1996-06
107,574,331,1996-06
108,46,341,1996-06
109,574,341,1996-06
110,476,350,1996-06
111,574,350,1996-06
112,273,194,1996-06
113,476,194,1996-06
114,584,194,1996-06
115,46,337,1996-06
116,476,337,1996-06
117,584,337,1996-06
118,46,332,1996-06
119,273,332,1996-06
120,584,332,1996-06
121,273,195,1996-06
122,584,195,1996-06
123,46,330,1996-06
124,273,330,1996-06
125,476,330,1996-06
126,273,193,1996-06
127,476,193,1996-06
128,46,328,1996-06
129,273,328,1996-06
130,46,335,1996-06
131,476,335,1996-06
132,102,9,1996-06
