,user_id,group_id,period
0,54,989,1996-04
1,191,989,1996-04
2,54,990,1996-04
3,99,990,1996-04
4,40,785,1996-05
5,107,785,1996-05
6,136,785,1996-05
7,145,785,1996-05
8,353,785,1996-05
9,468,785,1996-05
10,107,47,1996-05
11,130,47,1996-05
12,136,47,1996-05
13,145,47,1996-05
14,468,47,1996-05
15,107,54,1996-05
16,136,54,1996-05
17,145,54,1996-05
18,468,54,1996-05
19,604,54,1996-05
20,107,53,1996-05
21,136,53,1996-05
22,145,53,1996-05
23,468,53,1996-05
24,40,783,1996-05
25,107,783,1996-05
26,130,783,1996-05
27,145,783,1996-05
28,40,790,1996-05
29,107,790,1996-05
30,145,790,1996-05
31,284,790,1996-05
32,604,790,1996-05
33,40,789,1996-05
34,107,789,1996-05
35,145,789,1996-05
36,107,49,1996-05
37,130,49,1996-05
38,145,49,1996-05
39,604,49,1996-05
40,107,48,1996-05
41,130,48,1996-05
42,145,48,1996-05
43,107,59,1996-05
44,145,59,1996-05
45,604,59,1996-05
46,40,794,1996-05
47,130,794,1996-05
48,136,794,1996-05
49,145,794,1996-05
50,353,794,1996-05
51,436,794,1996-05
52,40,802,1996-05
53,136,802,1996-05
54,145,802,1996-05
55,353,802,1996-05
56,604,802,1996-05
57,40,801,1996-05
58,136,801,1996-05
59,145,801,1996-05
60,353,801,1996-05
61,40,796,1996-05
62,130,796,1996-05
63,145,796,1996-05
64,604,796,1996-05
65,40,795,1996-05
66,130,795,1996-05
67,145,795,1996-05
68,40,787,1996-05
69,107,787,1996-05
70,136,787,1996-05
71,436,787,1996-05
72,468,787,1996-05
73,40,786,1996-05
74,107,786,1996-05
75,136,786,1996-05
76,284,786,1996-05
77,468,786,1996-05
78,40,788,1996-05
79,107,788,1996-05
80,136,788,1996-05
81,468,788,1996-05
82,107,55,1996-05
83,136,55,1996-05
84,468,55,1996-05
85,40,791,1996-05
86,107,791,1996-05
87,284,791,1996-05
88,40,807,1996-05
89,136,807,1996-05
90,284,807,1996-05
91,353,807,1996-05
92,604,807,1996-05
93,40,822,1996-05
94,284,822,1996-05
95,604,822,1996-05
96,40,811,1996-05
97,136,811,1996-05
98,353,811,1996-05
99,436,811,1996-05
100,604,811,1996-05
101,40,810,1996-05
102,136,810,1996-05
103,353,810,1996-05
104,436,810,1996-05
105,40,812,1996-05
106,136,812,1996-05
107,353,812,1996-05
108,604,812,1996-05
109,40,809,1996-05
110,136,809,1996-05
111,353,809,1996-05
112,40,808,1996-05
113,136,808,1996-05
114,284,808,1996-05
115,436,808,1996-05
116,40,806,1996-05
117,136,806,1996-05
118,284,806,1996-05
119,134,215,1996-05
120,136,215,1996-05
121,353,215,1996-05
122,436,215,1996-05
123,468,215,1996-05
124,136,243,1996-05
125,353,243,1996-05
126,468,243,1996-05
127,604,243,1996-05
128,136,242,1996-05
129,353,242,1996-05
130,468,242,1996-05
131,136,241,1996-05
132,353,241,1996-05
133,436,241,1996-05
134,604,241,1996-05
135,136,229,1996-05
136,145,229,1996-05
137,284,229,1996-05
138,353,229,1996-05
139,145,293,1996-05
140,284,293,1996-05
141,136,231,1996-05
142,145,231,1996-05
143,353,231,1996-05
144,436,231,1996-05
145,136,230,1996-05
146,145,230,1996-05
147,353,230,1996-05
148,136,236,1996-05
149,284,236,1996-05
150,353,236,1996-05
151,436,236,1996-05
152,136,235,1996-05
153,284,235,1996-05
154,353,235,1996-05
155,40,804,1996-05
156,136,804,1996-05
157,145,804,1996-05
158,436,804,1996-05
159,604,804,1996-05
160,40,803,1996-05
161,136,803,1996-05
162,145,803,1996-05
163,436,803,1996-05
164,40,805,1996-05
165,136,805,1996-05
166,145,805,1996-05
167,604,805,1996-05
168,40,800,1996-05
169,136,800,1996-05
170,145,800,1996-05
171,136,232,1996-05
172,145,232,1996-05
173,436,232,1996-05
174,130,180,1996-05
175,136,180,1996-05
176,145,180,1996-05
177,444,180,1996-05
178,604,180,1996-05
179,130,181,1996-05
180,136,181,1996-05
181,145,181,1996-05
182,604,181,1996-05
183,130,179,1996-05
184,136,179,1996-05
185,145,179,1996-05
186,130,193,1996-05
187,145,193,1996-05
188,604,193,1996-05
189,136,233,1996-05
190,145,233,1996-05
191,604,233,1996-05
192,136,228,1996-05
193,145,228,1996-05
194,134,214,1996-05
195,136,214,1996-05
196,353,214,1996-05
197,436,214,1996-05
198,40,784,1996-05
199,107,784,1996-05
200,130,784,1996-05
201,353,784,1996-05
202,40,792,1996-05
203,107,792,1996-05
204,353,792,1996-05
205,40,782,1996-05
206,107,782,1996-05
207,130,782,1996-05
208,107,46,1996-05
209,130,46,1996-05
210,40,797,1996-05
211,130,797,1996-05
212,353,797,1996-05
213,40,793,1996-05
214,130,793,1996-05
215,40,781,1996-05
216,107,781,1996-05
217,130,183,1996-05
218,136,183,1996-05
219,436,183,1996-05
220,468,183,1996-05
221,130,188,1996-05
222,136,188,1996-05
223,468,188,1996-05
224,604,188,1996-05
225,130,184,1996-05
226,136,184,1996-05
227,436,184,1996-05
228,604,184,1996-05
229,130,182,1996-05
230,136,182,1996-05
231,436,182,1996-05
232,136,246,1996-05
233,436,246,1996-05
234,468,246,1996-05
235,604,246,1996-05
236,136,249,1996-05
237,468,249,1996-05
238,604,249,1996-05
239,136,245,1996-05
240,436,245,1996-05
241,468,245,1996-05
242,130,189,1996-05
243,136,189,1996-05
244,604,189,1996-05
245,130,177,1996-05
246,134,177,1996-05
247,145,177,1996-05
248,436,177,1996-05
249,468,177,1996-05
250,130,192,1996-05
251,145,192,1996-05
252,468,192,1996-05
253,130,191,1996-05
254,145,191,1996-05
255,436,191,1996-05
256,134,225,1996-05
257,436,225,1996-05
258,468,225,1996-05
259,130,190,1996-05
260,145,190,1996-05
261,130,195,1996-05
262,436,195,1996-05
263,468,195,1996-05
264,130,194,1996-05
265,436,194,1996-05
266,40,814,1996-05
267,136,814,1996-05
268,436,814,1996-05
269,604,814,1996-05
270,35,651,1996-05
271,40,651,1996-05
272,107,57,1996-05
273,145,57,1996-05
274,436,57,1996-05
275,468,57,1996-05
276,107,58,1996-05
277,145,58,1996-05
278,468,58,1996-05
279,107,60,1996-05
280,436,60,1996-05
281,468,60,1996-05
282,145,295,1996-05
283,436,295,1996-05
284,468,295,1996-05
285,436,863,1996-05
286,468,863,1996-05
287,134,216,1996-05
288,136,216,1996-05
289,353,216,1996-05
290,604,216,1996-05
291,134,213,1996-05
292,136,213,1996-05
293,353,213,1996-05
294,130,186,1996-05
295,136,186,1996-05
296,444,186,1996-05
297,468,186,1996-05
298,130,185,1996-05
299,136,185,1996-05
300,444,185,1996-05
301,130,187,1996-05
302,136,187,1996-05
303,468,187,1996-05
304,136,248,1996-05
305,468,248,1996-05
306,130,196,1996-05
307,468,196,1996-05
308,107,51,1996-05
309,134,51,1996-05
310,145,51,1996-05
311,35,650,1996-05
312,107,650,1996-05
313,134,219,1996-05
314,145,219,1996-05
315,107,56,1996-05
316,145,56,1996-05
317,40,818,1996-05
318,145,818,1996-05
319,436,818,1996-05
320,604,818,1996-05
321,40,817,1996-05
322,145,817,1996-05
323,436,817,1996-05
324,40,819,1996-05
325,145,819,1996-05
326,604,819,1996-05
327,40,816,1996-05
328,145,816,1996-05
329,145,297,1996-05
330,604,297,1996-05
331,40,826,1996-05
332,436,826,1996-05
333,604,826,1996-05
334,145,294,1996-05
335,436,294,1996-05
336,107,52,1996-05
337,134,52,1996-05
338,468,52,1996-05
339,107,61,1996-05
340,444,61,1996-05
341,468,61,1996-05
342,134,226,1996-05
343,468,226,1996-05
344,444,868,1996-05
345,468,868,1996-05
346,107,50,1996-05
347,134,50,1996-05
348,40,821,1996-05
349,284,821,1996-05
350,353,821,1996-05
351,134,222,1996-05
352,353,222,1996-05
353,436,222,1996-05
354,604,222,1996-05
355,353,658,1996-05
356,436,658,1996-05
357,604,658,1996-05
358,134,221,1996-05
359,353,221,1996-05
360,436,221,1996-05
361,134,223,1996-05
362,353,223,1996-05
363,604,223,1996-05
364,136,238,1996-05
365,284,238,1996-05
366,436,238,1996-05
367,604,238,1996-05
368,136,239,1996-05
369,284,239,1996-05
370,604,239,1996-05
371,136,247,1996-05
372,436,247,1996-05
373,604,247,1996-05
374,130,198,1996-05
375,604,198,1996-05
376,130,176,1996-05
377,134,176,1996-05
378,136,240,1996-05
379,353,240,1996-05
380,436,240,1996-05
381,353,657,1996-05
382,436,657,1996-05
383,40,798,1996-05
384,134,798,1996-05
385,136,244,1996-05
386,353,244,1996-05
387,604,244,1996-05
388,134,217,1996-05
389,136,217,1996-05
390,436,217,1996-05
391,134,224,1996-05
392,436,224,1996-05
393,284,552,1996-05
394,436,552,1996-05
395,604,552,1996-05
396,40,824,1996-05
397,353,824,1996-05
398,604,824,1996-05
399,134,218,1996-05
400,136,218,1996-05
401,604,218,1996-05
402,136,237,1996-05
403,284,237,1996-05
404,436,237,1996-05
405,40,813,1996-05
406,136,813,1996-05
407,436,813,1996-05
408,40,815,1996-05
409,136,815,1996-05
410,604,815,1996-05
411,40,799,1996-05
412,136,799,1996-05
413,130,197,1996-05
414,536,197,1996-05
415,136,250,1996-05
416,536,250,1996-05
417,130,178,1996-05
418,136,178,1996-05
419,40,820,1996-05
420,284,820,1996-05
421,134,212,1996-05
422,136,212,1996-05
423,134,220,1996-05
424,353,220,1996-05
425,134,227,1996-05
426,604,227,1996-05
427,284,554,1996-05
428,604,554,1996-05
429,536,979,1996-05
430,604,979,1996-05
431,35,652,1996-05
432,604,652,1996-05
433,284,550,1996-05
434,353,550,1996-05
435,284,553,1996-05
436,536,553,1996-05
437,107,62,1996-05
438,468,62,1996-05
439,145,296,1996-05
440,468,296,1996-05
441,40,827,1996-05
442,536,827,1996-05
443,284,551,1996-05
444,436,551,1996-05
445,40,823,1996-05
446,353,823,1996-05
447,436,864,1996-05
448,536,864,1996-05
449,136,234,1996-05
450,284,234,1996-05
451,40,825,1996-05
452,436,825,1996-05
453,46,889,1996-06
454,242,889,1996-06
455,314,889,1996-06
456,385,889,1996-06
457,411,889,1996-06
458,102,24,1996-06
459,385,24,1996-06
460,541,24,1996-06
461,574,24,1996-06
462,584,24,1996-06
463,56,994,1996-06
464,102,994,1996-06
465,273,994,1996-06
466,411,994,1996-06
467,584,994,1996-06
468,102,17,1996-06
469,314,17,1996-06
470,411,17,1996-06
471,541,17,1996-06
472,349,647,1996-06
473,411,647,1996-06
474,476,647,1996-06
475,56,995,1996-06
476,102,995,1996-06
477,349,995,1996-06
478,411,995,1996-06
479,314,586,1996-06
480,411,586,1996-06
481,541,586,1996-06
482,584,586,1996-06
483,476,920,1996-06
484,541,920,1996-06
485,584,920,1996-06
486,14,255,1996-06
487,314,255,1996-06
488,411,255,1996-06
489,476,255,1996-06
490,541,255,1996-06
491,314,585,1996-06
492,411,585,1996-06
493,541,585,1996-06
494,46,894,1996-06
495,314,894,1996-06
496,385,894,1996-06
497,411,894,1996-06
498,476,894,1996-06
499,46,893,1996-06
500,314,893,1996-06
501,385,893,1996-06
502,411,893,1996-06
503,46,885,1996-06
504,102,885,1996-06
505,242,885,1996-06
506,314,885,1996-06
507,46,888,1996-06
508,242,888,1996-06
509,314,888,1996-06
510,46,892,1996-06
511,314,892,1996-06
512,56,997,1996-06
513,102,997,1996-06
514,411,997,1996-06
515,476,997,1996-06
516,541,997,1996-06
517,56,998,1996-06
518,102,998,1996-06
519,411,998,1996-06
520,541,998,1996-06
521,102,26,1996-06
522,411,26,1996-06
523,476,26,1996-06
524,541,26,1996-06
525,102,27,1996-06
526,411,27,1996-06
527,541,27,1996-06
528,102,29,1996-06
529,476,29,1996-06
530,541,29,1996-06
531,411,837,1996-06
532,476,837,1996-06
533,541,837,1996-06
534,102,8,1996-06
535,242,8,1996-06
536,314,8,1996-06
537,411,8,1996-06
538,476,921,1996-06
539,574,921,1996-06
540,584,921,1996-06
541,14,263,1996-06
542,476,263,1996-06
543,584,263,1996-06
544,476,922,1996-06
545,584,922,1996-06
546,56,1001,1996-06
547,242,1001,1996-06
548,314,1001,1996-06
549,411,1001,1996-06
550,56,1013,1996-06
551,411,1013,1996-06
552,476,1013,1996-06
553,242,494,1996-06
554,314,494,1996-06
555,411,494,1996-06
556,476,494,1996-06
557,242,493,1996-06
558,314,493,1996-06
559,411,493,1996-06
560,56,1002,1996-06
561,242,1002,1996-06
562,314,1002,1996-06
563,541,1002,1996-06
564,584,1002,1996-06
565,314,589,1996-06
566,541,589,1996-06
567,584,589,1996-06
568,56,1000,1996-06
569,242,1000,1996-06
570,314,1000,1996-06
571,102,12,1996-06
572,273,12,1996-06
573,385,12,1996-06
574,541,12,1996-06
575,102,23,1996-06
576,385,23,1996-06
577,541,23,1996-06
578,14,253,1996-06
579,102,253,1996-06
580,541,253,1996-06
581,56,1007,1996-06
582,314,1007,1996-06
583,385,1007,1996-06
584,541,1007,1996-06
585,56,1009,1996-06
586,314,1009,1996-06
587,541,1009,1996-06
588,56,1015,1996-06
589,541,1015,1996-06
590,14,261,1996-06
591,46,261,1996-06
592,102,261,1996-06
593,242,261,1996-06
594,46,884,1996-06
595,102,884,1996-06
596,242,884,1996-06
597,242,496,1996-06
598,349,496,1996-06
599,411,496,1996-06
600,102,9,1996-06
601,242,9,1996-06
602,411,9,1996-06
603,46,898,1996-06
604,56,898,1996-06
605,411,898,1996-06
606,46,897,1996-06
607,411,897,1996-06
608,574,897,1996-06
609,584,897,1996-06
610,574,1027,1996-06
611,584,1027,1996-06
612,46,891,1996-06
613,242,891,1996-06
614,385,891,1996-06
615,541,891,1996-06
616,46,890,1996-06
617,242,890,1996-06
618,385,890,1996-06
619,46,887,1996-06
620,242,887,1996-06
621,56,1008,1996-06
622,314,1008,1996-06
623,385,1008,1996-06
624,584,1008,1996-06
625,385,754,1996-06
626,584,754,1996-06
627,56,1010,1996-06
628,314,1010,1996-06
629,584,1010,1996-06
630,56,1006,1996-06
631,314,1006,1996-06
632,385,1006,1996-06
633,102,16,1996-06
634,314,16,1996-06
635,411,16,1996-06
636,476,16,1996-06
637,102,15,1996-06
638,314,15,1996-06
639,411,15,1996-06
640,314,584,1996-06
641,411,584,1996-06
642,476,584,1996-06
643,14,252,1996-06
644,102,252,1996-06
645,314,252,1996-06
646,14,254,1996-06
647,314,254,1996-06
648,14,251,1996-06
649,102,251,1996-06
650,314,581,1996-06
651,349,581,1996-06
652,385,581,1996-06
653,476,581,1996-06
654,314,582,1996-06
655,385,582,1996-06
656,476,582,1996-06
657,102,11,1996-06
658,273,11,1996-06
659,349,11,1996-06
660,411,11,1996-06
661,102,13,1996-06
662,273,13,1996-06
663,411,13,1996-06
664,102,20,1996-06
665,349,20,1996-06
666,411,20,1996-06
667,349,646,1996-06
668,411,646,1996-06
669,102,19,1996-06
670,349,19,1996-06
671,385,750,1996-06
672,411,750,1996-06
673,541,750,1996-06
674,14,260,1996-06
675,411,260,1996-06
676,541,260,1996-06
677,14,258,1996-06
678,385,258,1996-06
679,541,258,1996-06
680,349,649,1996-06
681,541,649,1996-06
682,314,580,1996-06
683,349,580,1996-06
684,385,580,1996-06
685,314,579,1996-06
686,349,579,1996-06
687,102,7,1996-06
688,242,7,1996-06
689,314,7,1996-06
690,102,6,1996-06
691,242,6,1996-06
692,273,6,1996-06
693,102,10,1996-06
694,273,10,1996-06
695,102,5,1996-06
696,242,5,1996-06
697,102,25,1996-06
698,411,25,1996-06
699,476,25,1996-06
700,411,836,1996-06
701,476,836,1996-06
702,56,996,1996-06
703,102,996,1996-06
704,411,996,1996-06
705,56,1012,1996-06
706,411,1012,1996-06
707,56,1003,1996-06
708,242,1003,1996-06
709,476,1003,1996-06
710,56,1014,1996-06
711,476,1014,1996-06
712,314,587,1996-06
713,411,587,1996-06
714,584,587,1996-06
715,314,590,1996-06
716,584,590,1996-06
717,349,645,1996-06
718,385,645,1996-06
719,476,645,1996-06
720,349,644,1996-06
721,385,644,1996-06
722,102,31,1996-06
723,541,31,1996-06
724,584,31,1996-06
725,102,32,1996-06
726,584,32,1996-06
727,541,991,1996-06
728,584,991,1996-06
729,102,30,1996-06
730,541,30,1996-06
731,56,1004,1996-06
732,242,1004,1996-06
733,584,1004,1996-06
734,56,1016,1996-06
735,584,1016,1996-06
736,192,408,1996-06
737,476,408,1996-06
738,242,499,1996-06
739,476,499,1996-06
740,102,18,1996-06
741,314,18,1996-06
742,476,18,1996-06
743,314,588,1996-06
744,476,588,1996-06
745,102,22,1996-06
746,385,22,1996-06
747,476,22,1996-06
748,385,751,1996-06
749,476,751,1996-06
750,102,28,1996-06
751,476,28,1996-06
752,46,886,1996-06
