,user_id,group_id,period
0,81,19,1996-10
1,126,19,1996-10
2,19,4,2000-08
3,469,4,2000-08
4,19,6,2000-08
5,571,6,2000-08
6,19,5,2000-08
7,57,5,2000-08
8,19,3,2000-08
9,294,3,2000-08
10,294,11,2000-08
11,469,11,2000-08
12,294,10,2000-08
13,333,10,2000-08
14,57,15,2000-08
15,294,15,2000-08
16,160,2,2000-10
17,368,2,2000-10
18,160,1,2000-12
19,288,1,2000-12
20,384,13,2001-07
21,474,13,2001-07
22,287,7,2005-03
23,316,7,2005-03
24,316,12,2005-03
25,428,12,2005-03
26,287,9,2005-03
27,552,9,2005-03
28,287,8,2005-03
29,428,8,2005-03
30,68,16,2006-09
31,132,16,2006-09
32,68,18,2006-09
33,370,18,2006-09
34,47,14,2017-05
35,328,14,2017-05
36,68,17,2018-05
37,153,17,2018-05
38,153,0,2018-05
39,567,0,2018-05
