,user_id,group_id,period
0,99,3086,1996-04
1,191,3086,1996-04
2,40,1873,1996-05
3,130,1873,1996-05
4,134,1873,1996-05
5,284,1873,1996-05
6,444,1873,1996-05
7,40,1866,1996-05
8,107,1866,1996-05
9,134,1866,1996-05
10,284,1866,1996-05
11,468,1866,1996-05
12,40,1879,1996-05
13,134,1879,1996-05
14,145,1879,1996-05
15,284,1879,1996-05
16,353,1879,1996-05
17,40,1880,1996-05
18,134,1880,1996-05
19,284,1880,1996-05
20,40,1865,1996-05
21,107,1865,1996-05
22,130,1865,1996-05
23,468,1865,1996-05
24,536,1865,1996-05
25,35,1645,1996-05
26,40,1645,1996-05
27,107,1645,1996-05
28,468,1645,1996-05
29,130,367,1996-05
30,134,367,1996-05
31,145,367,1996-05
32,353,367,1996-05
33,107,182,1996-05
34,134,182,1996-05
35,145,182,1996-05
36,353,182,1996-05
37,40,1874,1996-05
38,130,1874,1996-05
39,136,1874,1996-05
40,284,1874,1996-05
41,40,1877,1996-05
42,130,1877,1996-05
43,284,1877,1996-05
44,353,1877,1996-05
45,604,1877,1996-05
46,130,371,1996-05
47,136,371,1996-05
48,353,371,1996-05
49,107,173,1996-05
50,130,173,1996-05
51,134,173,1996-05
52,136,173,1996-05
53,468,173,1996-05
54,130,368,1996-05
55,134,368,1996-05
56,604,368,1996-05
57,107,184,1996-05
58,134,184,1996-05
59,468,184,1996-05
60,107,172,1996-05
61,130,172,1996-05
62,134,172,1996-05
63,136,172,1996-05
64,130,374,1996-05
65,136,374,1996-05
66,604,374,1996-05
67,40,1863,1996-05
68,107,1863,1996-05
69,130,1863,1996-05
70,284,1863,1996-05
71,40,1869,1996-05
72,107,1869,1996-05
73,284,1869,1996-05
74,353,1869,1996-05
75,40,1868,1996-05
76,107,1868,1996-05
77,284,1868,1996-05
78,40,1864,1996-05
79,107,1864,1996-05
80,130,1864,1996-05
81,436,1864,1996-05
82,40,1862,1996-05
83,107,1862,1996-05
84,130,1862,1996-05
85,107,175,1996-05
86,130,175,1996-05
87,353,175,1996-05
88,436,175,1996-05
89,107,176,1996-05
90,130,176,1996-05
91,436,176,1996-05
92,35,1650,1996-05
93,40,1650,1996-05
94,284,1650,1996-05
95,353,1650,1996-05
96,40,1886,1996-05
97,136,1886,1996-05
98,284,1886,1996-05
99,353,1886,1996-05
100,604,1886,1996-05
101,134,399,1996-05
102,284,399,1996-05
103,444,399,1996-05
104,468,399,1996-05
105,134,394,1996-05
106,145,394,1996-05
107,284,394,1996-05
108,353,394,1996-05
109,444,394,1996-05
110,134,398,1996-05
111,284,398,1996-05
112,444,398,1996-05
113,134,395,1996-05
114,145,395,1996-05
115,284,395,1996-05
116,353,395,1996-05
117,468,395,1996-05
118,134,400,1996-05
119,284,400,1996-05
120,468,400,1996-05
121,134,393,1996-05
122,145,393,1996-05
123,284,393,1996-05
124,353,393,1996-05
125,134,396,1996-05
126,145,396,1996-05
127,353,396,1996-05
128,40,1896,1996-05
129,145,1896,1996-05
130,353,1896,1996-05
131,468,1896,1996-05
132,40,1895,1996-05
133,145,1895,1996-05
134,353,1895,1996-05
135,40,1910,1996-05
136,436,1910,1996-05
137,468,1910,1996-05
138,145,580,1996-05
139,353,580,1996-05
140,436,580,1996-05
141,145,581,1996-05
142,353,581,1996-05
143,468,581,1996-05
144,145,579,1996-05
145,353,579,1996-05
146,134,391,1996-05
147,136,391,1996-05
148,444,391,1996-05
149,468,391,1996-05
150,134,392,1996-05
151,136,392,1996-05
152,468,392,1996-05
153,134,404,1996-05
154,353,404,1996-05
155,444,404,1996-05
156,468,404,1996-05
157,134,411,1996-05
158,444,411,1996-05
159,468,411,1996-05
160,134,406,1996-05
161,353,406,1996-05
162,468,406,1996-05
163,134,413,1996-05
164,468,413,1996-05
165,40,1870,1996-05
166,107,1870,1996-05
167,444,1870,1996-05
