,user_id,group_id,period
0,19,11,2000
1,469,11,2000
2,160,5,2000
3,469,5,2000
4,57,34,2000
5,368,34,2000
6,57,35,2000
7,414,35,2000
8,19,9,2000
9,288,9,2000
10,57,32,2000
11,160,32,2000
12,160,1,2000
13,288,1,2000
14,217,16,2000
15,414,16,2000
16,160,3,2000
17,368,3,2000
18,19,12,2000
19,57,12,2000
20,160,4,2000
21,414,4,2000
22,217,14,2000
23,294,14,2000
24,160,0,2000
25,217,0,2000
26,19,13,2000
27,603,13,2000
28,217,15,2000
29,368,15,2000
30,19,7,2000
31,160,7,2000
32,19,8,2000
33,217,8,2000
34,160,2,2000
35,294,2,2000
36,294,23,2000
37,414,23,2000
38,19,10,2000
39,368,10,2000
40,294,22,2000
41,368,22,2000
42,368,27,2000
43,414,27,2000
44,57,33,2000
45,294,33,2000
46,288,21,2000
47,368,21,2000
48,91,38,2005
49,608,38,2005
50,428,29,2005
51,608,29,2005
52,274,20,2007
53,307,20,2007
54,480,20,2007
55,219,18,2007
56,307,18,2007
57,307,26,2007
58,483,26,2007
59,219,19,2007
60,480,19,2007
61,307,25,2007
62,480,25,2007
63,219,17,2007
64,274,17,2007
65,590,36,2009
66,600,36,2009
67,298,24,2015
68,509,24,2015
69,177,6,2015
70,298,6,2015
71,561,31,2017
72,599,31,2017
73,517,30,2017
74,599,30,2017
75,599,37,2017
76,610,37,2017
77,380,28,2017
78,599,28,2017
