,user_id,group_id,period
0,266,7,1999
1,597,7,1999
2,201,4,1999
3,597,4,1999
4,572,23,1999
5,597,23,1999
6,202,6,2000
7,469,6,2000
8,57,21,2000
9,414,21,2000
10,57,20,2000
11,290,20,2000
12,59,24,2000
13,290,24,2000
14,290,8,2000
15,414,8,2000
16,414,17,2000
17,603,17,2000
18,57,22,2000
19,469,22,2000
20,469,19,2000
21,603,19,2000
22,414,16,2000
23,469,16,2000
24,290,10,2000
25,603,10,2000
26,414,15,2000
27,453,15,2000
28,1,0,2000
29,414,0,2000
30,160,3,2000
31,414,3,2000
32,202,5,2000
33,414,5,2000
34,290,9,2000
35,469,9,2000
36,42,18,2001
37,555,18,2001
38,313,13,2002
39,452,13,2002
40,305,11,2016
41,339,11,2016
42,305,12,2016
43,610,12,2016
44,122,1,2016
45,305,1,2016
46,122,2,2016
47,610,2,2016
48,380,14,2017
49,475,14,2017
